sentence,difficulty
"So, just in my personal zone, I'm setting up for a hundred clients this evening",A2
"There are plenty of things to do in Paris, believe me.",A1
He wants to surprise them.,A2
"If I have an accident, my heart or my liver could be used.",B1
The slogan “100% of our customers buy our products” is a tautology.,C2
"To travel to Siberia, to Venice, around the world, to weather a storm in the Atlantic, or to rebuild a society on a desert island, we just need to open a book",C2
"As part of a research in urban sociolinguistics, focusing on the speeches of young people in the process of social and professional integration, evolving within training centers, we questioned the construction and heterogeneity of interactions in the framework of given communication situations, as evidenced by the diversity of the corpora collected.",C2
"After the fall of Napoleon, certain powerful people in Milan had Count Prina, former minister of the King of Italy, and a man of great merit, knocked out in the streets.",C1
I don't like drawing.,A1
"At 40, he's worn out",B2
"Until this exceptional story that is Migrations, the first novel by the Australian Charlotte McConaghy, about lives at the end of their rope.",C1
What sport do you do?,A1
I have two brothers,A1
"She bought a boat that Fabrice, the Marquise and she decorated with their hands, because there was a lack of money for everything, in the midst of the most splendid state of the house; since his disgrace the Marquis del Dongo had redoubled his aristocratic splendor.",C1
"A boy who fell from the South to Paris, with the amiable audacity of an adventurer and, the next day, women's stories, a continual exploitation of women, the scandal of a flagrant offense, of which the neighborhood was still talking; then, the sudden and inexplicable conquest of Madame Hédouin, who had brought him Ladies' Happiness.",C2
A noise that occurs in the stomach when we are hungry.,A2
A perfect season for witches,A1
He entered the wrong room and startled strangers.,B1
"This second, later explanation seems to have the advantage for some of removing Native Americans from the equation, which further taints its credibility.",B2
Sometimes I tried to relieve my boredom; I took refuge in a profound taciturnity: this taciturnity was taken for disdain.,C2
Have a good week and see you soon Thank you very much Lida!,A1
"But we can also imagine a robot ally or companion, or even lover.",C2
It’s a very complete job.,A1
"She told me what she had suffered trying to get away from me; how many times she had hoped that I would discover her despite her efforts; how the slightest noise that struck his ears seemed to announce my arrival; what trouble, what joy, what fear she felt when she saw me again; by what distrust of herself, to reconcile the inclination of her heart with prudence, she had given herself over to the distractions of the world, had sought the crowd from which she had previously fled.",C2
"So afterwards, we will clearly distinguish between debts: public, private, multilateral debts. That's it, because what debts are we talking about?",B2
"From there I looked at Ellenore: she seemed slightly changed to me, she was paler than usual.",C2
"Know exactly what the weather will be like, what evenings you will need to be dressed for",B2
"I find that reading like this helps a lot to learn to pronounce better, to know more vocabulary and what's more, it's a lot of fun.",B1
250 new talents will be on the job market by the end of the year.,B1
Did you hear this noise?,A2
"Digital communication offers the possibility of meeting many existential, narcissistic and social needs that are difficult to satisfy in ""real life"".",B2
The motorcycle was very unreliable in its early days.,B2
"Depending on the family, the evening can be enlivened by readings of horrific tales or poems evoking Halloween.",B2
"After 13 years, the child's articulatory and phonatory apparatus freezes, which explains why adults have so much difficulty learning foreign languages.",C2
"I would like to introduce you to a new colleague, Jacques Servat who arrives from Madrid where he has just spent five years in a large furniture group as sales team leader.",B1
"That said, it remains that between the egg and the sperm we observe very interesting secondary differences; the essential singularity of the ovum is that it is loaded with materials intended to nourish and protect the embryo; it accumulates reserves at the expense of which the fetus will build its tissues, reserves which are not a living substance but an inert matter; this results in it having a massive, spherical or ellipsoidal shape, and being relatively bulky; we know what dimensions the bird's egg reaches; in women the ovum measures 0.13 mm in diameter; while in human sperm we find 60,000 spermatozoa per cubic millimeter: the mass of the spermatozoon is extremely small, it has a filiform tail, a small elongated head, no foreign substance weighs it down, it is entirely alive; this structure dedicates it to mobility; whereas the ovum, where the future of the fetus is stored, is a fixed element: enclosed in the female organism or suspended in an external environment, it passively awaits fertilization; it is the male gamete which goes in search of it; the sperm is always a naked cell, the ovum is protected or not by a membrane depending on the species; but in any case as soon as the spermatozoon comes into contact with it, it jostles it, makes it oscillate, and infiltrates it: the male gamete abandons its tail, its head swells and with a rotating movement reaches the nucleus; during this time, the egg immediately forms a membrane which closes it to other spermatozoa.",C2
Can you help me?,A1
Your friendship sustained me: without this friendship I cannot live.,C2
"It's a gray building, not very far from the school and my house.",A2
The “video” will undoubtedly lessen the emotion of the reunion and the solemnity of the farewells.,C1
It was already a quarter past midnight when Pierre returned home.,B1
"However, an invincible shyness stopped me: all my speeches died on my lips, or ended quite differently than I had planned.",C2
Sistine broke our balls on the project management forum.,B2
I'm 20 years old.,A1
"Worse, their companions can be seized with anxiety about their menopause, observes psychoanalyst Jacqueline Schaeffer.",C1
Health!,A1
"They live across the street from a waitress, Penny, whose dream is to become an actress.",B1
"So, in a few months, Montana breeders and officials slaughtered, with the park's agreement, more than 1,000 bison without even checking whether they carried brucellosis.",C1
You take a shower and go to bed.,A1
"He walked for a year and a day, eating fruits and roots.",B1
"It was this first heatwave that notably decided Greta Thunberg to sit with her sign in front of the Stockholm parliament, it was the beginning of the great mobilization of young people for the climate",B1
My little brother took the public bus to go play football with his friends.,A2
"I believe in the existence of a powerfully organized mammal, belonging to the phylum of vertebrates, such as whales, sperm whales or dolphins, and equipped with a horny tusk whose penetration force is extreme.",C1
"Now, to take things strictly, man is just as determined to move under the influence of external causes as a stone which receives an impulse",C2
I am not very hungry.,A1
We can say with certainty that this area was used as a cemetery between the last quarter of the 1st century and the first half of the 2nd century CE.,C1
We always seek to oppose humans and machines.,B1
I saw them in front of the pharmacy,A2
School teaching to create links between subjects,C1
"Hello my friends, I'm bringing together everyone I like to celebrate the arrival of summer on June 21",A1
"At twenty years old, the prince was of splendid beauty.",B1
So the Salon du Chocolat is the event not to be missed,A2
"A cat, named Rodilardus, made such a mess of rats that we hardly saw any more, so many he had put in the grave.",C2
"It has a very consistent style, as it was built quite quickly.",C1
She does her homework then prepares dinner and finally she watches a movie before going to bed,B1
My sister's train arrives at 8:05 p.m.,A1
In a word: my whole life.,A2
"Trap is still rap, it's just a little derivative",A2
The storage of radioactive waste poses a great risk to the environment.,B2
"First of all, why not consider work as a unique constraint since from its origin, this activity is designated as such",C2
This growth is linked to the implementation of tax measures favorable to parents.,C1
I have an appointment with the hairdresser.,A1
What do you eat for breakfast?,A1
And how is life at home?,A1
Destroyed fortunes are the chevrons of courtesans.,C2
Do you have anything planned?,B1
"Caterina would, according to tradition, be the daughter of poor peasants.",B2
It's tragic that they had amnesia following the terrible accident that occurred during the laboratory tests.,C1
I waited for you for an hour in front of the cinema in the cold,A2
"Ultimately, more than 300 professional recycling centers will collect this waste free of charge, which will then be transported to processing centers where it will follow the same circuit as household waste: destruction, decontamination, then reuse in the manufacture of new electronic equipment.",B2
"To receive our announcements in your mailbox, register on the website of our temp agency adeki.fr.",B2
Waiting for retirement.,A2
You can bring some fruit juice.,A1
I am convinced that robolution will profoundly change our economic system.,C2
He is very happy and whistles.,A1
It was an empty and sad room; on the leprous walls of the walls were crumbling debris of official posters,C1
"These environmental challenges, with intensifying international mobility, migration of people and international trade in goods and services, show that the preservation of well-being increasingly takes on a global dimension.",C1
Language teaching in French schools is - how can I put this politely,C2
"The Week opened on Monday on the Trocadéro square in Paris, with a symbolic event, in the presence of the deputies for disabled people to the Mayor of Paris.",B1
This car looks like my car.,A1
"The most worrying and scandalous thing is in mathematics: he exchanges his answers and practical work throughout the boarding school for payment, which explains the quantities of provisions and illegal objects in his cupboard.",C1
"This company has just set up in the region, it is going to recruit!",B1
Death froze the young man in a Christ-like posture.,C2
I'm going through Switzerland.,B1
"As in Judaism, he opposes it with the idea of ​​“sanctified enjoyment”.",C2
"For him, speaking his mother tongue with his daughters means above all passing on something of Danish culture.",B1
Do you have anything to declare ?,A1
"I will remind you of your appointments tomorrow, Tuesday.",A1
"Every summer, we go to my grandparents' cottage.",B1
A passenger may ride behind the rider if the motorcycle is designed to.,C2
One moment please.,A1
"When the mystery is too impressive, we dare not disobey.",B1
We will proclaim our independence as soon as the armistice is signed.,B2
This museum is good!,A1
Just a little bit.,A1
"However, the Labor Code stipulates that to be able to benefit from sabbatical leave, the employee must meet a double condition of seniority of thirty-six months, consecutive or not, in the company and six years of previous professional activity.",C1
He has several things to do this evening.,A2
I have lived at Gérarda's with my daughter for two years.,A1
It's starting to get rainy and windy. It's time to take out my coat and umbrella!,A1
They are called new fathers.,B1
Do you want to come with me tomorrow evening to the singer M's concert?,A2
"She hears the lapping of waves, the cry of children playing, the siren of a boat returning to port.",B1
"It was almost the first time, because she doesn't smile very often.",B1
"At 40, he is worn out.",B1
"An old lady: This one is the Harco, over there in the back is the Coucou de Rennes",A2
"At the same time, science fiction novels and films have presented robots, like the Transformers for example, with superhuman powers.",C1
"In addition to training in pure computer languages, Sayna also requires learning a completely different form of code.",B2
"If these tests confirm the anomaly, a doctor from the transfusion service will contact and inform the donor, at the latest within ten days following the collection.",C1
"But yes, it gives me pleasure to go to Basel with you.",B1
"Suddenly there was a howl, a cracking among the branches, and a little pink homunculus came towards us, screaming.",C2
"In 2007, less than 8% of business waste was subject to selective collection. A result significantly lower than that of household waste, which forms the vast majority of the approximately 2 million tonnes of electronic waste produced each year in France, according to the Environment and Energy Management Agency (Ademe).",B2
"In Casual, it is a maximum of 15 rounds, the first team to win 8 rounds wins.",B2
"Two artistic passions which allowed her to access her first role in the cinema: that of a piano teacher in the film Goodbye Children, by Louis Malle.",C1
Do you see the castle over there?,A1
Looks like there's a lot of work to be done.,B1
"As he could not go out, he wrapped himself in his cloak, lay down on the ground, and slept like snakes.",A2
"This requires completely rethinking the class obviously, since the course, the classic transmissive model must be done at home, so other activities are needed in class, activities which will in fact involve multiple choice questionnaires, or possibly the use of voting boxes, workshops.",C2
"This notion essentially designated, and pragmatically, a purely mechanical balance between the powers of the European Continent, which was to prevent the appearance of any hegemony: when the balance was disturbed, the other States reconstituted it almost automatically by allying against the disruptor.",C2
"It's just a small infection, we'll treat you.",B1
"And Forestier, almost lying on the sofa, one leg folded under him, the towel slipped into his waistcoat so as not to stain his coat, suddenly declared, with a convinced skeptic's laugh: ""Sacristi yes, we would pay for it if we were sure of silence. Bigre de bigre! poor husbands!”",C2
"Through flashbacks shedding light on the heroine's past life, the writer chronicles the successive disappearance of several specimens.",C1
"The kids, dressed just like their dads, seemed uncomfortable with their new clothes (many even wore the first pair of boots of their lives that day), and one could see next to them, not saying a word into the dress. white from her first communion extended for the occasion, some tall little girl of fourteen or sixteen, their cousin or older sister no doubt, red-faced, bewildered, her hair greasy with rose pomade, and very afraid of getting her gloves dirty.",C2
What a shame no one wants to give a retirement speech next week.,B1
"Nine NGO activists, dressed in yellow or white, scaled the airport tarmac fence around 9 a.m. and deployed around an Air France Boeing 777 plane, parked at ground and without passengers on board.",C1
The children had gone into the oak woods to cut branches and make leaf wreaths in the style of the Roman emperors.,B2
Corruption is felt at different levels: salaries are so low that employees are tempted to accept bribes to approve operating plans they have never seen.,B2
I was thirsty and had a coffee,A2
"However, this familiar gesture is a daily reminder of the unequal construction of the World initiated in the 15th century.",C1
How is your name spelled?,A1
I'm staying at home,A1
I'm walking my neighbor's dog who is on vacation.,A1
He won't let me watch TV.,A1
"Well then seduce, do your odious technical work and lose your soul.",C1
"Sunday was particularly deadly with at least 18 deaths among the ranks of demonstrators, according to the United Nations.",B2
"The pain threshold is around 120 dB, but the ear is vulnerable from the threshold of 90 dB with listening for several hours.",B2
"The North American tradition is to get together as a family to eat a stuffed turkey accompanied by mashed potatoes, sweet potatoes, cranberry jelly and pumpkin pie.",B2
Are you still a student?,A1
"With the weather forecast, you can know what the weather will be like in the evening, the next day or during the week",B1
The concept is simple: each household can drop off its old device in exchange for purchasing a new one from the same distributor.,B2
I am disappointed that yesterday's meeting ended this way.,B1
Should I cut your hair like this?,A1
Why doesn't he speak?,A1
"Several characteristics of old social relations have been preserved - notably interdisciplinarity (contributions from economists, sociologists, political scientists, demographers will be found here) and multilingualism (the report is published in German, French and English, in order to open and internationalize the debate).",C1
My most subtle efforts were in vain in the face of the mute bias of Georges' father.,C2
The restaurant is on your left,A1
"Halfway, he often has to turn around",B2
"Soon, it will be the turn of businesses to benefit from such a possibility, which should make it possible to collect and recycle nearly 70,000 tonnes of professional waste.",B2
"In the meantime, to replace him, I present to you our new cook.",B1
"Vegetarian chili, also called vegetable chili, is a must in West Indian cuisine.",C1
December 24 is New Year's Eve,B2
"He also had a beautiful veranda built containing a library, to enjoy the sun and a view of the garden.",B1
"The craze for vegetable gardens is part of the movement to develop food autonomy, a movement accentuated by this coronavirus crisis.",B2
When I saw him my heart started beating very hard.,B1
What could be a problem in these small but rather attractive booklets that only 23.4% of their holders reach the end?,C2
The master and the dog must know each other well but also and above all understand each other well.,B1
"When I got up this morning, I had a horrible stomach ache.",B1
"This is the analysis of the Federal Consumers' Union which, Tuesday August 9, by unveiling a summary on the subject, requested a profound change in the management of available resources.",C2
"I don't think people should be banned from coming back if they want to, but they should have accommodation elsewhere just in case.",B1
Production almost completely disappeared in France.,B2
I'm lucky to have seen the show over 500 times,A2
You saw my sisters,A1
"The day after his 50th birthday, he was diagnosed with terminal lung cancer with an estimated life expectancy of two years.",C1
"With the fight against separatism, a hindering and repressive strategy against radical Islam is implemented.",C1
"And when they start to remove the dining room floor, they discover clotted blood.",B2
He orders you to leave immediately!,A2
"Could it be that life seems all the more real when all illusions disappear, just as the tops of rocks become better defined on the horizon when the clouds dissipate?",C2
A segment of the population finds itself excluded and suffers both from the material conditions to which it is reduced and from the way people look at it.,C2
The author wants to encourage women to get involved in mathematics.,B2
"I run to my room, and hurry to get dressed and put on makeup, then I'm going to take the subway",A2
I will never speak like that about my father.,A2
We thought and we chose a candy,A2
"Despite the rise in obesity-related problems, FAO's top priority remains the fight against hunger, as 840 million people continue to suffer chronically from undernourishment.",C1
"A vision that echoes that of D. Méda: it also calls for disenchanting work, that is to say, relativizing its place in our societies in favor of social and political activities, which develop autonomy and cooperation.",C2
The students would have sat on a bench waiting for you.,B2
"When we were little, we learned to walk.",A2
"But in the end, sir, what reason do you have to hate Montfleury?",B1
"It used to be that there was wildlife everywhere, but now our cities are just blocks of concrete.",B2
"The priest himself would have had to know this language; but she was the object of his contempt; his knowledge of this type was limited to reciting, by heart, the prayers of his missal, the meaning of which he could roughly convey to his flock.",C2
A dog like Djengo is educated (or trained) to accompany a blind or visually impaired person and to help them in their daily movements.,B1
"Rap is more for me ""boom bap"", a bit of what was done before",A2
I remember a summer during which we traveled a lot in a caravan,C2
"My husband's parents live a long way from us, but my parents have a house a few miles from ours",A1
The opening will take place on June 22 at the Galerie de la Calande.,B2
"To me, doctors and nurses are heroes without costumes.",A2
"And we'll go eat a waffle right after, what do you think?",A1
"It is recognized as useful for working adults, especially for doctors, reporters, those who have to travel, or in the event of a problem, a breakdown on the highway, or an accident.",B2
My wife tells me that you are very nice.,A2
"I got what I wanted, I'm satisfied.",A2
"An unmotivated crime, what an embarrassment for the police",C2
Do not swallow.,A2
"They said this: “But, actually, I was wrong.”",A2
Did you hear what the professor said before?,A2
You are therefore in the Inter editorial team specializing in environmental issues and today we are celebrating the thirty years of the Conservatoire du littoral.,C1
"While the humans chatted, Mimi the poodle, Fido the German shepherd and I gave each other neighborhood news and sniffed the new arrivals.",C1
"To be naturalized, you must complete a file and meet certain conditions.",B2
Departure is the only horizon offered to those who seek the thousand boxes where destiny hides the solutions to its thousand errors.,C1
"When he receives this statement, he will see that you are sincere and he will realize that you really love him.",B1
"During the 1970s and 1980s, several environmental groups in industrialized countries in Western Europe and North America organized campaigns against whale and seal hunting.",C1
"These cheeses are a sort of guarantee for the well-being of cows and goats, and for the preservation of the terroir.",B2
What do you think ?,A1
"In fact, my mother prefers to do the cleaning alone because I break everything.",A2
"Well, why not?",A2
"He knew nothing, except that it was gathering near Maubeuge.",B2
Gradually pour the flour into the egg-sugar mixture to avoid lumps.,C1
"Fabrice threw himself after her to save her, and both were dragged quite far.",C1
This evening I went shopping for our picnic tomorrow: We are going to hike the largest volcano on the island.,A2
The corgi looks like a little fox.,A2
We had to listen to our parents,A2
We benefit from sufficient financial means and justify the reasons for their stay,C1
Instinctively I looked at my watch: two in the morning.,C1
"every ten minutes, twenty people are allowed to climb the spiral staircase",C2
You shouldn't get the same sweater as your father.,B1
I knew I had been sitting too long.,B1
Brussels has the right to defend the policies it pursues.,B1
What he loves most is DIY.,A2
There hasn't been any rain since we arrived.,B1
"Blaming the administrative authorities for the absence of a long-term forestry policy, they take advantage of the duration of their permits to indiscriminately exploit everything that can be sold in order to increase their profit margins.",B2
I liked the movie,A2
"Thursday, we're going to a restaurant for my sister's birthday.",A2
The winds did not calm down until early morning.,A2
And all the Nathalie land that was acquired by the conservatory is actually open to the public.,C1
"To increase their competitiveness, the multinationals which control, for example, the world markets for coffee and bananas, constantly push purchase prices down.",C1
"At the end of the early morning, the motley stranding, the exacerbated stenches of corruption, the monstrous sodomies of the host and the victim, the impassable coltis of prejudice and stupidity, the prostitution, the hypocrisies, the lewdness, the betrayals , the lies, the forgeries, the extortions - the breathlessness of insufficient cowardice, the enthusiasm without ahan for supernumerary pushes, the greeds, the hysterias, the perversions, the harlequinades of misery, the cripples, the pruritus, the hives, the warm hammocks of degeneration. Here the parade of laughable and scrofulous buboes, the spreads of very strange microbes, the poisons without known alexitere, the sanites of very ancient wounds, the unpredictable fermentations of putrescible species.",C2
"Yes, I received it yesterday.",B1
"I'm happy, I'm going to see Amélie",A1
"There is the water that we consume in full awareness, seeing it flow and the water that we consume, or even waste without knowing it, is called “virtual water”",B1
"This code, if we judged by the sudden stubbornness that she showed in not wanting to do certain errands that we gave her, seemed to have anticipated social complexities and worldly refinements such as nothing in the entourage of Françoise and in his life as a village servant had not been able to suggest them to him; and we were obliged to say that there was in it a very ancient, noble and poorly understood French past, as in these manufacturing towns where old hotels testify that there was once a court life, and where workers at a chemical factory work among delicate sculptures representing the miracle of Saint Theophilus or the four sons of Aymon.",C2
His ultra-monarchical remarks irritated the populations who wanted to plunge them into sleep and carelessness.,C1
You don't have a pen?,A1
"Boom, we arrive, we want to go cycling as a family and we have the holidays.",B1
We knew full well that being so financially fair was not normal.,B2
"When you see it, you understand better.",B1
"He had kept her there severely locked up, cloistered, ignored and ignorant of human things.",C1
Everything is going well thank you.,A1
Here we go!,A1
"Yesterday, due to violent storms, villagers were deprived of electricity.",B2
"Here again, continuity: of all the possible choices, tolerance constitutes, whatever the year, the value or quality most often chosen by surveys, comments the researcher at the National Political Science Foundation.",B2
"They would have liked this vacation to never end, but they came home with a head full of memories",B2
"Waiter: good evening, madam, how can I help you?",A2
There is a lot of disorder in the apartment.,A1
You only need to stay 30 minutes in the LIRVA cabin to be able to cope in all the situations of daily life and in the language of your choice.,A1
"This network of places is deployed on a European scale, not without encountering linguistic barriers (German) or difficult borders to cross from France).",C1
"Hey, the weather is nice at the moment! Summer is not far away.",B1
I love you.,A1
His accent is so natural that it was no problem.,B1
"Since 2006, French individuals have been able to recycle waste electrical and electronic equipment thanks to one-for-one take-back.",B2
"After long efforts, he managed to make himself loved; and as he had not hidden his setbacks and his sorrows from me, he believed himself obliged to communicate to me his successes: nothing equaled his transports and the excess of his joy.",C2
He plays in the garden with a ball.,A1
"Often more productive than the others, it creates a unifying effect in a work team where small, common problems are put into perspective.",B1
"He's someone you can count on, you can trust him.",B1
"A small mark on her forehead, scars on her body and a slightly limping gait were the only visible traces of the accident she had suffered a year and a half earlier.",B2
This can be seen as being very reductive!,B2
"Her supporters see her as a fierce environmental activist, who does not hesitate to make her voice heard.",C1
How old are you ?,A1
"From now on, he concentrated all the powers in his hands",B2
"Two frightful, but very polite, oddballs graciously made room for me on the straw divan; and the coffee I had there was certainly better than the black concoction of the most famous café in Paris.",C1
"“Because the revisions help to find the trace of the arrangement within one's memory, he adds",C2
"From this time, there have been specialized establishments for preparing competitive exams, most of them private institutions.",C2
They require partners to make a permanent effort at communication to maintain a modus vivendi enriched with imagination.,C2
"Ladies, your attention, please.",A1
The school's mission has changed.,A2
"If some escape this general destiny, they conceal within themselves their secret dissent; they see in most ridicule the germ of vices: they no longer joke about it, because contempt replaces mockery, and contempt is silent.",C2
I would have sent you a photo but we don't have a camera,B1
"Come on, who is the one who wants to open the list?",B1
And in August we might spend a few days in the mountains.,B1
"It only took 12 years, between 1999 and 2011, for the world population to increase from 6 to 7 billion people.",B1
"Yukihiro Kimura, inventor of recycling diapers into fuel, Yonago, Japan.",B2
I finally looked for a reasoning that could bring me out of this struggle with honor in my own eyes.,C2
They were there,A1
"Beloved, cursed be this storm which kept me at sea, preventing me from coming in time!",C1
"Delicious little donuts that are tender and crispy at the same time, an ideal recipe for traveling under the tropical sun",C1
"When I finish my studies, I will take a gap year.",B2
"For some authors, the consequences could be a significant evolution of the traditional organization of the company",C2
"A crisis occurs at the end of a period of several months, during which pressure - professional, family or existential - continues to mount.",C1
"A lighter joke, a more varied conversation, a particular mixture of melancholy and cheerfulness, of discouragement and interest, of enthusiasm and irony, surprised and endeared Ellenore.",C2
"A landscape graph representing the meadow network at the regional level (area essentially encompassing the Jura plateaus of the Doubs department) had already been produced in a previous study, based on a less precise land use map derived from a satellite image classification; this first study made it possible to test different settings of the graph, to represent with the most validity the ""grassland infrastructure"" as it is perceived by ground voles.",C1
The cell phone allows young people to maintain a private space within family life.,B2
"In China, Mother's Day takes place on the 2nd Sunday in May.",B1
The deal was soon concluded.,B2
It's finish.,A1
"The inequality between rich and poor countries, as it was evident in the middle of the last century, at the time of decolonization, was neither eternal nor inevitable.",C1
"During its short period of activity, the robot worked hard.",B2
"“I have accepted Neera Tanden’s request to withdraw” her candidacy, Joe Biden announced in a press release.",B2
The cat came into the living room and scratched the chair with its claws.,A1
"Alas: it is an interjection which expresses complaint, suffering, regret.",B1
"In middle and high school, we practice the art of conversation, that of complicity, of small passions shared in a feeling of lightness and carelessness since nothing is definitive.",B2
Candlemas is a very old celebration.,A2
School cannot do everything.,A2
This store is not far from my house,A1
"To close this monograph of the Constantinopolitan café, let us cite another which is frequented only by sailors.",C1
"This is what would attempt to conceive a truly complex thought, inspired by Edgar Morin, which would be aware of the links uniting everything.",C2
He never returned to Brazzaville where he spent part of his childhood.,B1
"No, he hasn't recognized it yet, I think.",A2
There are two trains to Lille in the morning,A1
"If he fits ten years of a life into three hundred pages to show what was, among all the beings who surrounded it, its particular and very characteristic meaning, he will have to know how to eliminate, among the countless small events and daily, all those which are useless to it, and to highlight, in a special way, all those which would have remained unnoticed by observers with little insight and which give the book its scope, its overall value.",C1
It's always a pleasure to listen to you.,A2
"When the man of average condition becomes a great person, flattery begins to fade and slander to flourish.",C2
Let's be receptive,C1
It is very cold in here,A2
"It is hardly surprising, therefore, that the professional bifurcation and the move take on the appearance of an identity conversion.",C1
"As soon as she got home, she burst into tears",C2
Red is the color of tomatoes and strawberries.,A1
"Every weekend, they went hiking together in the Alps.",C1
"At 60 today, we still have twenty-five, even thirty years ahead of us, explains Patrice Leclerc, head of the elderly program at the Fondation de France.",B2
"To relax, Théo often takes a bath in the evening before playing a little more and going to sleep.",A2
"The dog beat his tail frantically, then joined his mistress, barking happily.",C1
"In 1620, the Mayflower - a ship from Europe - docked in an unknown area which would much later become the city of Plymouth in the northern United States today.",B2
"Previously, DNA duplication was done by molecular cloning: the sequence of interest was inserted into the genome of a bacteria and the high growth rate of the microorganism was used to obtain as many clones of the DNA sequence.",C2
He has to hurry so as not to be late for school.,A2
We must also do all the exercises,A1
"Yes, a courageous act, especially when it goes against the ambient frenzy, the race for the news",B1
You eat too much.,A1
The day is long for him,A2
"Hello, my name is Igor",A1
The Net has encouraged utopian visions in others.,C1
I would like to build the tallest buildings in the world.,B1
But we didn't hear his voice much.,A2
"At the beginning, it was very complicated to set up in the end.",A2
I can't find the book you're looking for.,A1
He didn't like the canteen food,A1
We had no trouble finding the man among the crowd of travelers converging towards the exit.,C2
"Emma, ​​likewise, would have wanted, fleeing life, to fly away into an embrace.",C2
"Hannah looked at the disgusting clogs, which were neon green to boot.",B2
"An equation, among others, bears his name.",B2
"She bathed, she rested, she had fun",A1
You always thought of your lover who had mercilessly abandoned you.,B1
The school gives French lessons.,A1
Employees who have contributed sufficiently can retire at age 60.,B2
"One aspect that differentiates these first two cantonal profiles from the others is the ""positive planning"" character that these spatial quota instruments have: they indicate an objective, a desirable state in terms of maximum extension of urbanized areas to a given time horizon.",C2
It happens that cell phones destroy friendships between young people.,B2
"By taking lessons, you will learn faster.",B1
I love all my family very much,A2
First I have to go to the bakery to buy some bread and croissants,A2
I read a novel that I got from the central library,C2
"If there are dozens of variations to this recipe, chef Gérard-Michel Corbin invites us to add his personal touch too.",C1
"They explained to me that they had not yet seen someone so expressive, and that they were going to contact me again.",B1
"Taxes on the income and wealth of individuals, on the profits and capital of legal entities as well as on real estate profits are direct taxes that the cantons must levy under the LHID.",C1
A study carried out by researchers from McGill University in Canada provides new information on this stage.,C2
I heard that the mayor wants to eliminate the folk song festival.,B2
"With its family meal around its traditional stuffed turkey, Thanksgiving is considered as important a holiday as Christmas in the United States and Canada.",B2
"In Central America, it was Francia Márquez who managed to organize the women of La Toma in the Cauca region and put pressure on the Colombian government to stop illegal gold mining on ancestral lands",B1
"We have a super cool teacher, mixed race type, shaggy hair, cool and classy clothes.",C1
"Use external stoppers (clock, warning messages), talk about negative affects to loved ones, do relaxation, meditation, sport, remember the negative consequences of excessive consumption (encourage critical discourse, weigh the pros and cons), ride the urge (let it come, resist and wait for it to pass), so many ways to try to stem these urges that have become uncontrollable.",C2
In the evening we ate in an excellent restaurant,A2
It's a magical show,A1
"Indeed, many concepts can be approached without a computer.",B2
How are you doing today ?,A1
He has an apartment,A2
"The Eternal Father had compassion on the poor man; he wrote a word, in letters of gold, on a leaf that he plucked from a tree in Paradise.",B1
"I wanted to offer her coffee but Marie didn't want it: ""to each their own"".",A2
"So decided the very puritan George Bush, with the blessing of the feminist Hillary Clinton.",C1
66% of left-wing supporters are in favor compared to 82% of right-wing supporters,C2
"In my opinion, the risk is too great to take.",B1
"As we use computers as intermediaries for understanding the world, I fear that our own intelligence will become artificial.",C1
Two recent observations have forced the debate.,C1
"Born in 1776, she was one of the first self-taught French mathematicians.",B2
The link between the actor and the act committed is non-existent,C2
"Let's go out, do something, anything, just to get moving!",B1
The traveler was the Prince's favorite.,B1
"This is why, if nearly 50% of our tests are outsourced, we will gain flexibility and avoid a temporary drop in our workforce.",B2
I never asked myself that.,A2
I don't deny that sometimes it's my fault.,A2
It ranks first among the best in its category.,B2
Yes I will do it !,A2
And not just one.,A1
It's a hotel by the sea,A1
French cuisine is stuck in its traditions and refuses to leave them.,B2
This is where I cook cakes and pastries,A2
She is small.,A1
"If the notion of patriotism may seem marked on the right, the champions of economic patriotism and their speeches that are more guilt-inducing than encouraging are from all political sides: from the extreme right to the extreme left without forgetting the environmentalists",B2
I'll open an account for you.,A2
"They were those provincial rooms which - just as in certain countries entire parts of the air or the sea are illuminated or perfumed by myriads of protozoa that we do not see - enchant us with the thousand odors that there emerge virtues, wisdom, habits, a whole secret, invisible, superabundant and moral life that the atmosphere keeps in suspense; natural smells still, certainly, and color of the weather like those of the neighboring countryside, but already homely, human and withdrawn, exquisite, industrious and clear jelly of all the fruits of the year which have left the orchard for the cupboard; seasonal, but movable and domestic, correcting the sting of white frost with the sweetness of warm bread, idle and punctual like a village clock, strolling and tidy, carefree and provident, laundresses, early risers, devout, happy with a peace which only brings an increase in anxiety and a prosaism which serves as a great reservoir of poetry for those who pass through them without having lived there.",C2
Public opinion is convinced of the inanity of warmongering.,C2
Régine Lemoine-Darthois and Elisabeth Weissman made the same observation.,C1
"The essential work of reconstruction is often professional and social, sometimes psychological and romantic.",C1
"Good evening, I have a reservation for 9 p.m. on behalf of Smith.",A2
"In an analysis published on March 3, UBS believes that the entire market is delicate. In China and South Korea, the two countries where meal delivery is most developed, operational benefits are possible.",C1
"And, finally, this formidable aphorism, the key word of complexity thinking: “Everything that isolates an object destroys its very reality6.",C2
