sentence,difficulty
"Après la transfusion, le sang provenant d'un don de sang total ou d'un don par aphérèse est congelé à une température de moins 30 degrés Celsius et mis en quarantaine.",C2
"Mais peut-on se contenter de cette expérience immédiate ou, pour reprendre la formulation de Bergson, de cette « donnée immédiate de la conscience » ?",C2
L'entreprise qui le gère est majoritairement anglaise.,B1
Je profite aussi du petit-déjeuner pour lire l'actualité en ligne,A1
"Ce système répond cependant à des critères précis et exigeants, difficilement conciliables avec le développement à grande échelle pour lequel il est appelé.",C1
"Oui, la raison a su s’adapter à la théologie païenne.",C1
"Face à rien de pire qu'un général en cuir hurlant et ces mouvements légèrement percutants qui sont communs aux figures militaires, qui semblent aspirer l'air, sentir la poudre et la chair de cheval, et, bien que léthargiques, semblent prêts à participer à un combat encore indéterminé. guerre (un type d'homme pour lequel Hedwige avait ressenti un grand penchant), Guido avait été secoué par un tremblement invisible.",C2
"Dès l'origine, cette action visait à aider les enseignants à enseigner les sciences et les technologies en mettant en œuvre une pédagogie favorisant l'expérimentation, l'échange et la pratique active et collective.",C2
"Elle portait une robe marron foncé, qui moulait sa taille, ses hanches, sa gorge, ses bras d'une manière provocante et coquette ; et Duroy éprouvait un étonnement confus, presque un embarras dont il ne comprenait pas bien la cause, devant la discordance de cette élégance soignée et raffinée avec l'insouciance visible de la maison qu'elle habitait.",C2
"Les papy baby-boomers sont des individualistes, ce sont eux qui ont mis le concept à la mode.",B2
Une politique de sécurité est un outil de gouvernance qui permet de traiter la sécurité comme un processus de gestion continu basé sur des objectifs stratégiques clairement définis.,C1
Tout le monde n’a pas les moyens d’acheter une machine à laver.,B1
"Lettres de motivation, d'amour ou de rupture, relecture de mémoires d'étudiants, textes d'hommage à lire et à distribuer lors des funérailles, situations administratives à régler avec la banque, impôts ou copropriété, l'écrivain public doit pouvoir répondre à toutes les demandes. .",C1
Et donc je vous remercie pour tout votre travail.,A2
Elle réalisa qu'elle travaillait dans le noir et alluma la lampe sur le bureau.,B2
Au premier étage il y a trois chambres,B1
Paul a le numéro de téléphone de Marie.,A1
Ils préparent la nourriture et nettoient toujours la cuisine juste après.,A2
Ils font du cracracracracraaa ! Et je fais pareil : on s'amuse !,A2
"En 2001, Rosalie expliquait au Groupe de travail des Nations Unies sur les peuples autochtones combien la survie des bisons sauvages est essentielle et symbolique pour les Indiens des Plaines.",C1
"Si vous avez trouvé la vidéo amusante, n'oubliez pas d'aimer notre chaîne YouTube et notre page Facebook",C1
"Par crainte de représailles, les manifestants étaient moins nombreux dans les rues mardi.",B2
"Cette histoire fascine toujours plus notre science-fiction, Blade Runner de Ridley Scott (1982) ou Her de Spike Jonze (2013) en témoignent.",B2
"Mon énergie, mon temps, mon argent.",A2
Que pensez-vous de ce tableau ?,A1
"En France, c'est l'enseignement catholique qui a le premier osé briser le tabou, en rediscutant depuis ses rencontres de décembre 2000 sur les vices et les vertus de la diversité.",C1
"Si nous sommes coincés dans l’ascenseur qui s’est arrêté brusquement, nous appellerons les secours dès que la communication sera établie.",B2
Il vient de la racine slave « robota » qui signifie travail de force.,C2
Il a donc rejeté toute modification du mode de vote qui introduirait des mécanismes partisans et abstraits dans ces communautés où l'appartenance politique des élus est peu prise en compte.,C1
Mais les chocs pétroliers plongent la France dans la crise,C1
Ce texte invite les États à prendre toutes les mesures pratiques pour garantir que les membres de leurs forces armées qui n'ont pas atteint l'âge de 18 ans ne participent pas directement aux hostilités (Art.,B1
"Vous êtes biologiste, militant passionné pour cette pédagogie, vous nous expliquerez pourquoi le sujet vous passionne.",C1
Elle était souvent rêveuse et taciturne ; parfois elle parlait avec impétuosité.,C2
La dame ne vient pas.,A1
"Après cette crise qui se renouvelle chaque nuit, je dors enfin, sereinement, jusqu'à l'aube.",B2
Elle raconte leur quotidien à travers les enfants qu'elle aidait également à faire leurs devoirs.,A2
Vous pourrez également voir la rivière qui traverse la capitale,B1
Bruno Bonnell Le vieil adage « on ne peut pas arrêter le progrès » n'a jamais été aussi frappant. D’autres pays s’équipent en robotique pour atteindre des taux de productivité supérieurs aux nôtres.,C1
"Pourtant, la plupart du temps, la jeunesse est heureuse, ni aussi tragique ni aussi banale que les clichés le décrivent.",B2
"De grands sapins noirs empêchaient la lumière du soleil de pénétrer dans les sous-bois où serpentait un chemin sombre, bordé de silhouettes menaçantes prêtes à se jeter sur nous.",C2
Il s'arrêta tristement à la porte d'un cabaret.,B1
Ouais !,A1
"Et des trous s'enfonçaient dans ces alluvions de l'espace, des trous infundibuliformes, rouges, par lesquels filtrait une lumière sourde de lanterne.",C2
Le travail permet en effet à l'Homme de s'affranchir des aspects restrictifs liés à l'existence humaine.,C2
"Je ne savais pas que, bien plus tristement que les petits écarts dans l'alimentation de son mari, mon manque de volonté, ma santé délicate, l'incertitude qu'ils projetaient sur mon avenir, préoccupaient ma grand-mère au cours de ces incessantes errances. de l'après-midi et du soir, où l'on voyait passer et revenir, obliquement relevée vers le ciel, son beau visage aux joues brunes et ridées, devenant presque violettes comme un labour en automne, barré, si elle sortait, par un voile à demi relevé , et sur lequel, amené là par le froid ou par quelque triste pensée, séchait toujours un cri involontaire.",C2
"Les taxes sur l’énergie comprennent principalement les taxes sur les carburants, la taxe CO2 sur les carburants et la surtaxe sur les coûts de transport de l’électricité.",C1
J'y suis allé hier en scooter.,A2
Tu étais mon meilleur ami et tu as toujours eu plein de bonnes idées pour t'amuser,A2
"Oui, en entrée ?",A1
Il a demandé la raison de cette décision.,A2
"S'il fait beau, l'après-midi vous pourrez vous rendre au jardin du Luxembourg.",A1
"Pourtant, dans les années 1890, garçons coiffeurs et employés des grands magasins manifestent, avec le soutien de la CGT, pour obtenir une demi-journée de repos hebdomadaire.",C2
"De même, le gouvernement de la République du Congo (RDC) s'est engagé en mai 2002 à démobiliser des milliers d'enfants servant dans son armée.",B1
Personne n'était intéressé par les discours du député,B1
Apprenez à un enfant qu'il peut réussir.,A2
Vous ne passerez pas !,A2
Il avait emprunté le couloir exigu qui menait au dortoir des filles.,C2
"De quelles moqueries insolentes, de quelles curiosités grossières n'aurait-il pas été l'objet et la victime !",B2
Cette période marque l'arrivée de Noël et des fêtes de fin d'année.,A1
Bien sûr que tu vas y aller.,A1
Il a trouvé un ami.,A1
"En France, le début des vacances est marqué par les soldes d'été",B1
"Elle s'est retrouvée dans les lectures de sa jeunesse, en plein chez Walter Scott.",C1
"Dans cette lettre au Père Noël, ils listent minutieusement tous les cadeaux qu'ils aimeraient avoir sous le sapin.",B2
"Il avait naturellement conçu l'envie de répéter ces exploits et, dès l'âge de seize ans, il commença à les pratiquer.",B2
"Le deuxième volet de notre projet, axé sur la « protection », est en place depuis 2017, notamment avec nos mesures éducatives, comme la répartition des classes.",C1
"J'étais trop épuisé, il m'était impossible de continuer !",B1
Il avait une consolation.,C1
"Dans cette zone, les densités annuelles connues de campagnols terrestres à l'échelle municipale ont été attribuées aux parcelles de prairie en utilisant une pondération relative de la superficie pour les parcelles chevauchant plusieurs municipalités ; A l'issue de cette opération, chaque parcelle de prairie a été caractérisée par une densité annuelle de campagnols terrestres.",C1
"Si les enfants écrivent une lettre au Père Noël, répondra-t-il ?",B1
"Il y avait lu que j'étais un honnête homme, un travailleur régulier, infatigable, fidèle à l'entreprise qui l'employait, aimé de tous et compatissant envers les misères des autres.",C2
"Après son enfance à Vinci, Léonard étudie auprès du célèbre peintre et sculpteur florentin Andrea del Verrocchio.",B2
Je me suis plaint à la mairie mais ça n'a servi à rien !,B1
La didascalia offre une toute nouvelle perspective sur l’œuvre.,C2
Peut-on parler de sujets sérieux avec un accent du sud de la France ?,B1
Je voudrais la clé s'il vous plaît.,A1
"Lucie commença courageusement sa cavatine en sol majeur ; elle se plaignait d'amour, elle demandait des ailes.",C2
La science en fait partie.,B1
"En l'affirmant, j'entends déjà les ayatollahs du coq au vin, les sermons de la sauce béarnaise, les amateurs de sole meunière se lever comme un seul homme brandissant leur Gault et Millau et leur Michelin.",C1
"Vous pouvez assister à des cours de danse, de hockey et de gymnastique.",A1
Il faut inciter la population à refuser les pailles en plastique.,B2
Que font-ils ?,A1
"Si vous me dites où vous avez passé l'hiver, je vous donnerai une grosse somme d'argent.",A2
Un conducteur a été interpellé pour avoir grillé un feu rouge.,B1
"Quel type de logement recherchez-vous : un appartement, une maison ?",B1
L’épidémie de coronavirus nous oblige à vivre l’incertitude de notre existence comme une détérioration passagère.,C2
Tu as beaucoup pleuré. Pour quoi ?,A2
"Je recommande vraiment la Brasserie du Métro qui est mon restaurant préféré, vous ne le regretterez pas si vous y allez",B1
"La dame du premier étage, probablement la même qui m'a parlé au téléphone, me dit que M. Lindon m'attend dans son bureau.",B1
"En sortant de chaque étape, mes enfants dessinaient le lieu ou une personne qu'ils y avaient rencontrée",C2
"Il savait poursuivre les poulains à demi sauvages dans les prés, les approcher en cachette, les surprendre d'un saut et les retenir par la force ou la fatigue.",B2
Le cheval est arrivé au galop et a sauté par-dessus la clôture.,B2
"En tant qu'ingénieur et inventeur, Léonard a développé des idées bien en avance sur son temps, des prototypes d'avions, d'hélicoptères, de sous-marins et même d'automobiles.",C1
"Elle remplissait son cœur de ces lamentations mélodieuses qui traînaient au son des contrebasses, comme les cris des naufragés dans le tumulte d'une tempête.",C1
"Pour lutter contre les anglicismes, la Commission générale de terminologie et de néologie recommande des termes français, parfois peu utilisés.",C1
"Ah oui, exactement comme moi !",A2
"C'est un petit appartement, sans grand confort, mais proche du centre ville.",B1
"C'est le cas à Nowra, à l'ouest de Sydney, où notre envoyée spéciale Murielle Paradon a pu rencontrer un couple de sexagénaires qui ont trouvé refuge dans leur voiture.",B1
La décision finale sera prise lors de la prochaine conférence à Buenos Aires.,C1
Nous voulions visiter le musée et avons dû payer l'entrée.,B1
"Cela m'occupait constamment : je formais mille projets ; J'ai inventé mille moyens de conquête, avec cette vanité inexpérimentée qui se croit sûre du succès parce qu'elle n'a rien tenté.",C2
"Le soir, vous devez revenir en empruntant le même itinéraire que le matin.",A2
Les candidatures présidentielles nécessitent 51 voix pour être approuvées par le Sénat.,B2
J'aime vraiment l'école,A1
"Le respect, l'égalité, c'est ce que veulent les jeunes.",A2
Je vais poser la tasse sur la table.,A1
"Comme leurs enfants, en somme, avec lesquels ces jeunes seniors présentent une ressemblance frappante.",C1
"La méchante femme n'y reviendra sûrement pas. » Le démon partit précipitamment, et il se précipita dans le trou, où, hélas, il trouva la méchante femme.",B1
Il faut aider les plus petits à y arriver.,A2
Cet acteur a joué dans plusieurs pièces écrites par mon frère.,C2
Je vais sauter et tu n'auras jamais les plans !,A2
"Et là, par contre, ça pourrait m'être utile.",A1
Malheureusement sa conduite fut plutôt noble et généreuse que tendre.,B2
Mais que fait Jules ?,A1
"Parfois une tendance l’emporte, parfois c’est l’autre ; mais jamais, parmi tant d’arguments, la question essentielle ne se pose.",C2
"Mon fils a de bonnes notes en français, c'est sa matière préférée",B1
"Un constat décidément sombre, qui devrait remettre en cause les pouvoirs publics, qui sont en grande partie responsables de cet état de fait, quelle que soit la couleur politique des gouvernements successifs.",C2
"Puis je me battrais avec Daffy, mon canard en peluche, je mâcherais mon os qui grince ou je chanterais sur la radio du voisin",C1
Je ne sais pas si j'ai assez d'argent pour t'accompagner,A2
"Dans les Caraïbes anglophones, 25 % des hommes et 50 % des femmes sont déjà obèses.",C1
Sa voiture rouge est très rapide.,A1
"Celui-ci étant plus foncé que celui des Européens blancs, il leur offre une protection naturelle contre le soleil car les rayons UV, bien que très intenses dans ce milieu désertique, n'atteignent pas les couches profondes de l'épiderme (50% ou plus pour un teint). claire, 15% pour les peaux noires).",C1
L'asile est le creuset terrible où se forge l'identité du vagabond.,C1
"Son rêve, en chassant l'histoire de l'histoire elle-même, est d'obtenir des frottements réguliers, sans frottements ni à-coups, qui s'incarnent dans la roue et la trajectoire circulaire, leitmotiv et cliché de toutes les Expositions universelles, de la grande roue au gyrotron en passant par la circulaire. tapis roulant de Paris 1900 et le Rocket Ship de New York 1939.",C2
Illusion de l'ignoble qui attire tant d'êtres !,C1
"Il n'est pas baigné, il ne s'est pas reposé",A1
"De nombreuses expériences sérieuses et importantes attestent que ces enfants bilingues sont bien plus favorisés pour un bon apprentissage des mathématiques, et plus généralement pour les opérations mentales basées sur l'abstraction.",C2
"Nous avons une grande maison avec un chien, un poisson et deux chats",A1
"Les guerres et l'instabilité politique sont essentiellement à l'origine des famines et des pénuries qui règnent aujourd'hui dans le monde, a encore précisé Bertrand Hervieu.",C1
"Un samedi sur deux, les étudiants de l'école de journalisme organisent des discussions dans le cybercafé du centre.",B1
S'attribuer des qualités que vous ne possédez pas.,B1
"Si l'individualisme repose sur le culte de chacun pour soi, l'individualisation correspond à une culture du choix, chacun affirmant son autonomie, sa capacité à diriger son action sans être contrôlé ni contraint.",C1
"Je vois l'avantage de cet appareil, mais je n'en ai pas l'utilité.",B1
"Oui, c'est pour combien de personnes ?",A1
"L'outil de travail est le téléphone, avec lequel nous faisons tout : conseil, vente, suivi commercial mais surtout vente.",B1
"Madame la Baronne, qui pesait environ trois cent cinquante livres, attirait ainsi une grande considération et faisait les honneurs de la maison avec une dignité qui la rendait encore plus respectable.",C1
"Le repas est servi sur une table resplendissante, recouverte de bougies et de petites figurines.",B2
"Vous pourriez nettoyer votre chambre, cela vous aiderait à les retrouver !",A2
"Le 7 mars 1815, ces dames étaient revenues, l'avant-veille, d'un charmant petit voyage à Milan ; Ils se promenaient dans la belle allée de platanes, récemment agrandie à l'extrême lisière. Un bateau apparut, venant du côté de Côme, et fit des signes singuliers.",C1
"Ce n’était pas le cas il y a cent ans, et c’est très bien.",A2
Les SMS jouent ici le même rôle que les échanges épistolaires : ils sont une manière de se souvenir de la passion.,C1
Mais la chute de Neera Tanden laisse présager d'autres batailles plus difficiles à venir au Sénat,B2
"Passionnée par l'histoire des civilisations perdues, elle souhaite devenir archéologue.",C1
"Grâce à un professeur, il commence enfin à s'intéresser à l'école.",B1
"Il y a un an, j'ai décidé d'arrêter de manger de la viande.",A2
"Le comte me découvrit dans l'espèce de retraite où je m'étais réfugié ; il est venu vers moi, m'a pris par la main et m'a conduit à Ellénore.",C2
Je suis juste allé voir un médecin parce que je n'arrivais plus à dormir.,B1
"Le sens des textes, qui se confond avec ces deux expériences, apparaît clairement indissociable de l'écart pragmatique, délibérément établi, entre l'œuvre philosophique et le ridicule d'un énoncé musical.",C2
"Ses sœurs étaient si enthousiasmées par son projet, elles l'embrassèrent avec une joie si bruyante qu'il prit en main quelques diamants qui restaient encore à cacher, et voulut partir immédiatement.",C1
"HomeExchange, la plateforme utilisée par la famille, a vu ses demandes d'échanges de maisons entre particuliers doubler cet été par rapport à l'année dernière.",B1
"Qu'il revienne, s'il l'ose !",B1
"Un conducteur d'âne, son sceptre à la main, conduisait, tel un empereur romain, deux coursiers aux longues oreilles.",B2
"Or, Internet et les réseaux sociaux mobilisent toute notre attention et ne nous permettent pas de retrouver cette tranquillité d’esprit.",C1
Londres est différente de Paris.,A1
"La chasse est également liée à l'exploitation forestière, le commerce du gibier offrant des opportunités lucratives.",B2
"Je vais lui offrir un livre que j'aime beaucoup : ""Kurt et le poisson"", tu sais ?",A2
J'ai vu Christine et elle m'a dit que tout allait bien pour toi.,A2
"Alors, rien que dans mon espace perso, je m'installe pour une centaine de clients ce soir",A2
"Il y a plein de choses à faire à Paris, croyez-moi.",A1
Il veut les surprendre.,A2
"Si j'ai un accident, mon cœur ou mon foie pourraient être utilisés.",B1
Le slogan « 100 % de nos clients achètent nos produits » est une tautologie.,C2
"Pour voyager en Sibérie, à Venise, à travers le monde, pour affronter une tempête dans l'Atlantique ou pour reconstruire une société sur une île déserte, il suffit d'ouvrir un livre.",C2
"Dans le cadre d'une recherche en sociolinguistique urbaine, centrée sur les discours de jeunes en voie d'insertion sociale et professionnelle, évoluant au sein de centres de formation, nous avons interrogé la construction et l'hétérogénéité des interactions dans le cadre de situations de communication données, comme en témoigne le diversité des corpus collectés.",C2
"Après la chute de Napoléon, certains puissants de Milan firent assommer dans les rues le comte Prina, ancien ministre du roi d'Italie et homme de grand mérite.",C1
Je n'aime pas dessiner.,A1
"A 40 ans, il est épuisé",B2
"Jusqu'à ce récit exceptionnel qu'est Migrations, le premier roman de l'Australienne Charlotte McConaghy, sur des vies à bout de souffle.",C1
Quel sport faites vous?,A1
J'ai deux frères,A1
"Elle acheta un bateau que Fabrice, la Marquise et elle décorèrent de leurs mains, parce qu'il manquait d'argent pour tout, au milieu de l'état le plus splendide de la maison ; depuis sa disgrâce, le marquis del Dongo avait redoublé de splendeur aristocratique.",C1
"Un garçon tombé du Midi à Paris, avec l'aimable audace d'un aventurier et, le lendemain, des histoires de femmes, une exploitation continuelle des femmes, le scandale d'un délit flagrant, dont le quartier parlait encore ; puis, la conquête soudaine et inexplicable de Madame Hédouin, qui lui avait apporté le Bonheur des Dames.",C2
Un bruit qui se produit dans l’estomac lorsque l’on a faim.,A2
Une saison parfaite pour les sorcières,A1
Il s'est trompé de pièce et a surpris les étrangers.,B1
"Cette seconde explication, plus tardive, semble avoir l’avantage pour certains de retirer les Amérindiens de l’équation, ce qui entache encore davantage sa crédibilité.",B2
"Parfois, j'essayais de soulager mon ennui ; Je me réfugiais dans une profonde taciturnité : cette taciturnité était prise pour du dédain.",C2
Bonne semaine et à bientôt Merci beaucoup Lida !,A1
"Mais on peut aussi imaginer un robot allié ou compagnon, voire amoureux.",C2
C’est un travail très complet.,A1
"Elle m'a raconté ce qu'elle avait souffert en essayant de s'éloigner de moi ; combien de fois elle avait espéré que je la découvrirais malgré ses efforts ; comme le moindre bruit qui frappait ses oreilles semblait annoncer mon arrivée ; quel trouble, quelle joie, quelle peur elle éprouva en me revoyant ; par quelle méfiance d'elle-même, pour concilier l'inclination de son cœur avec la prudence, elle s'était livrée aux distractions du monde, avait recherché la foule qu'elle avait fui auparavant.",C2
"Alors après, on distinguera bien les dettes : les dettes publiques, privées, multilatérales. Voilà, car de quelles dettes parle-t-on ?",B2
"De là, je regardai Ellénore : elle me parut un peu changée, elle était plus pâle que d'habitude.",C2
"Sachez exactement quel temps il fera, pour quelles soirées vous devrez être habillé",B2
"Je trouve que lire comme ça aide beaucoup à apprendre à mieux prononcer, à connaître plus de vocabulaire et en plus, c'est très amusant.",B1
250 nouveaux talents seront sur le marché du travail d'ici la fin de l'année.,B1
Avez-vous entendu ce bruit ?,A2
"La communication numérique offre la possibilité de répondre à de nombreux besoins existentiels, narcissiques et sociaux difficiles à satisfaire dans la « vraie vie ».",B2
La moto était très peu fiable à ses débuts.,B2
"Selon les familles, la soirée peut être agrémentée de lectures de contes horrifiques ou de poèmes évoquant Halloween.",B2
"Après 13 ans, l'appareil articulatoire et phonatoire de l'enfant se fige, ce qui explique pourquoi les adultes ont tant de difficultés à apprendre les langues étrangères.",C2
"Je voudrais vous présenter un nouveau collègue, Jacques Servat qui arrive de Madrid où il vient de passer cinq ans dans un grand groupe d'ameublement en tant que chef d'équipe commerciale.",B1
"Cela dit, il n’en reste pas moins qu’entre l’ovule et le spermatozoïde on observe des différences secondaires très intéressantes ; la singularité essentielle de l'ovule est qu'il est chargé de matières destinées à nourrir et à protéger l'embryon ; il accumule des réserves aux dépens desquelles le fœtus va construire ses tissus, réserves qui ne sont pas une substance vivante mais une matière inerte ; il en résulte qu'il présente une forme massive, sphérique ou ellipsoïdale, et qu'il est relativement volumineux ; nous savons quelles dimensions atteint l'œuf de l'oiseau ; chez la femme, l'ovule mesure 0,13 mm de diamètre ; tandis que dans le sperme humain on trouve 60 000 spermatozoïdes par millimètre cube : la masse du spermatozoïde est extrêmement petite, il a une queue filiforme, une petite tête allongée, aucune substance étrangère ne l'alourdit, il est entièrement vivant ; cette structure la consacre à la mobilité ; alors que l'ovule, où est stocké l'avenir du fœtus, est un élément fixe : enfermé dans l'organisme féminin ou en suspension dans un milieu extérieur, il attend passivement la fécondation ; c'est le gamète mâle qui part à sa recherche ; le spermatozoïde est toujours une cellule nue, l'ovule est protégé ou non par une membrane selon les espèces ; mais en tout cas dès que le spermatozoïde entre en contact avec lui, il le bouscule, le fait osciller, et l'infiltre : le gamète mâle abandonne sa queue, sa tête se gonfle et d'un mouvement de rotation atteint le noyau ; pendant ce temps, l'ovule forme immédiatement une membrane qui le ferme aux autres spermatozoïdes.",C2
Pouvez-vous m'aider?,A1
Votre amitié m'a soutenu : sans cette amitié je ne peux pas vivre.,C2
"C'est un bâtiment gris, pas très loin de l'école et de chez moi.",A2
La « vidéo » atténuera sans doute l’émotion des retrouvailles et la solennité des adieux.,C1
Il était déjà minuit et quart lorsque Pierre rentra chez lui.,B1
"Cependant, une timidité invincible m'arrêtait : tous mes discours mouraient sur mes lèvres, ou se terminaient tout autrement que ce que j'avais prévu.",C2
Sixtine nous a cassé les couilles sur le forum de gestion de projet.,B2
J'ai 20 ans.,A1
"Pire, leurs compagnes peuvent être saisies d'angoisse face à leur ménopause, observe la psychanalyste Jacqueline Schaeffer.",C1
Santé!,A1
"Ils habitent en face d'une serveuse, Penny, dont le rêve est de devenir actrice.",B1
"Ainsi, en quelques mois, les éleveurs et les autorités du Montana ont abattu, avec l'accord du parc, plus de 1 000 bisons sans même vérifier s'ils étaient porteurs de la brucellose.",C1
Vous prenez une douche et vous vous couchez.,A1
"Il a marché pendant un an et un jour, mangeant des fruits et des racines.",B1
"C'est cette première canicule qui a notamment décidé Greta Thunberg à s'asseoir avec sa pancarte devant le parlement de Stockholm, ce fut le début de la grande mobilisation des jeunes pour le climat.",B1
Mon petit frère a pris le bus public pour aller jouer au foot avec ses amis.,A2
"Je crois à l'existence d'un mammifère puissamment organisé, appartenant au phylum des vertébrés, comme les baleines, les cachalots ou les dauphins, et doté d'une défense cornée dont la force de pénétration est extrême.",C1
"Or, à prendre les choses au sens strict, l'homme est tout aussi déterminé à se mouvoir sous l'influence de causes extérieures qu'une pierre qui reçoit une impulsion.",C2
Je n'ai pas très faim.,A1
Nous pouvons affirmer avec certitude que cette zone a été utilisée comme cimetière entre le dernier quart du Ier siècle et la première moitié du IIe siècle de notre ère.,C1
Nous cherchons toujours à opposer les humains et les machines.,B1
Je les ai vus devant la pharmacie,A2
L'enseignement scolaire pour créer des liens entre les matières,C1
"Coucou mes amis, je réunis tous ceux que j'aime pour fêter l'arrivée de l'été le 21 juin",A1
"A vingt ans, le prince était d'une splendide beauté.",B1
Le Salon du Chocolat est donc l'événement à ne pas manquer,A2
"Un chat, nommé Rodilardus, faisait un tel désordre de rats qu'on n'en voyait presque plus, tant il en avait mis dans la tombe.",C2
Son style est très cohérent car il a été construit assez rapidement.,C1
Elle fait ses devoirs puis prépare le dîner et enfin elle regarde un film avant de se coucher,B1
Le train de ma sœur arrive à 20h05.,A1
En un mot : toute ma vie.,A2
"Le trap c'est toujours du rap, c'est juste un petit dérivé",A2
Le stockage de déchets radioactifs présente un risque important pour l'environnement.,B2
"Tout d’abord, pourquoi ne pas considérer le travail comme une contrainte unique puisque dès son origine, cette activité est désignée comme telle.",C2
Cette croissance est liée à la mise en place de mesures fiscales favorables aux parents.,C1
J'ai rendez-vous avec le coiffeur.,A1
Que manges-tu au petit-déjeuner ?,A1
Et comment se passe la vie à la maison ?,A1
Les fortunes détruites sont les chevrons des courtisanes.,C2
Avez-vous quelque chose de prévu ?,B1
"Caterina serait, selon la tradition, la fille de paysans pauvres.",B2
C'est tragique qu'ils soient devenus amnésiques suite au terrible accident survenu lors des tests en laboratoire.,C1
Je t'ai attendu une heure devant le cinéma dans le froid,A2
"A terme, plus de 300 déchetteries professionnelles collecteront gratuitement ces déchets qui seront ensuite acheminés vers des centres de traitement où ils suivront le même circuit que les déchets ménagers : destruction, décontamination, puis réutilisation dans la fabrication de nouveaux équipements électroniques.",B2
"Pour recevoir nos annonces dans votre boîte mail, inscrivez-vous sur le site de notre agence d'intérim adeki.fr.",B2
En attendant la retraite.,A2
Vous pouvez apporter du jus de fruit.,A1
Je suis convaincu que la robotisation va profondément changer notre système économique.,C2
Il est très content et siffle.,A1
C'était une pièce vide et triste ; sur les parois lépreuses des murs se trouvaient des débris d'affiches officielles en ruine,C1
"Ces défis environnementaux, avec l'intensification de la mobilité internationale, la migration des personnes et le commerce international des biens et services, montrent que la préservation du bien-être prend de plus en plus une dimension mondiale.",C1
L'enseignement des langues dans les écoles françaises est - comment dire poliment,C2
"La Semaine s'est ouverte lundi sur la place du Trocadéro à Paris, par un événement symbolique, en présence des adjoints aux personnes handicapées auprès de la Maire de Paris.",B1
Cette voiture ressemble à ma voiture.,A1
"Le plus inquiétant et le plus scandaleux est en mathématiques : il échange ses réponses et ses travaux pratiques dans tout l'internat contre paiement, ce qui explique les quantités de provisions et d'objets illégaux dans son placard.",C1
"Cette entreprise vient de s'implanter dans la région, elle va recruter !",B1
La mort a figé le jeune homme dans une posture semblable à celle du Christ.,C2
Je passe par la Suisse.,B1
"Comme dans le judaïsme, il y oppose l’idée de « jouissance sanctifiée ».",C2
"Pour lui, parler sa langue maternelle avec ses filles, c'est avant tout transmettre un peu de la culture danoise.",B1
Avez-vous quelque chose à déclarer ?,A1
Je vous rappellerai vos rendez-vous demain mardi.,A1
"Chaque été, nous allons au chalet de mes grands-parents.",B1
Un passager peut rouler derrière le pilote si la moto est conçue pour cela.,C2
Un instant s'il vous plaît.,A1
"Quand le mystère est trop impressionnant, on n’ose pas désobéir.",B1
Nous proclamerons notre indépendance dès la signature de l'armistice.,B2
Ce musée est bien !,A1
Juste un petit peu.,A1
"Toutefois, le Code du travail précise que pour pouvoir bénéficier du congé sabbatique, le salarié doit remplir une double condition d'ancienneté de trente-six mois, consécutifs ou non, dans l'entreprise et de six années d'activité professionnelle antérieure.",C1
Il a plusieurs choses à faire ce soir.,A2
Je vis chez Gérarda avec ma fille depuis deux ans.,A1
Il commence à pleuvoir et il y a du vent. Il est temps de sortir mon manteau et mon parapluie !,A1
On les appelle les nouveaux pères.,B1
Tu veux m'accompagner demain soir au concert du chanteur M ?,A2
"Elle entend le clapotis des vagues, le cri des enfants qui jouent, la sirène d'un bateau qui rentre au port.",B1
"C'était presque la première fois, car elle ne sourit pas très souvent.",B1
"A 40 ans, il est épuisé.",B1
"Une vieille dame : Celui-ci c'est le Harco, là-bas au fond c'est le Coucou de Rennes",A2
"Parallèlement, les romans et les films de science-fiction ont présenté des robots, comme les Transformers par exemple, dotés de pouvoirs surhumains.",C1
"En plus d’une formation aux langages informatiques purs, Sayna nécessite également l’apprentissage d’une forme de code complètement différente.",B2
"Si ces tests confirment l'anomalie, un médecin du service de transfusion prendra contact et informera le donneur, au plus tard dans les dix jours suivant le prélèvement.",C1
"Mais oui, cela me fait plaisir d'aller à Bâle avec vous.",B1
"Soudain, il y eut un hurlement, un craquement parmi les branches, et un petit homoncule rose s'avança vers nous en hurlant.",C2
"En 2007, moins de 8 % des déchets d'entreprises faisaient l'objet d'une collecte sélective. Un résultat nettement inférieur à celui des déchets ménagers, qui constituent la grande majorité des quelque 2 millions de tonnes de déchets électroniques produits chaque année en France, selon l'Agence de l'environnement et de la maîtrise de l'énergie (Ademe).",B2
"En Casual, c'est un maximum de 15 tours, la première équipe à remporter 8 tours gagne.",B2
"Deux passions artistiques qui lui permettent d'accéder à son premier rôle au cinéma : celui d'un professeur de piano dans le film Au revoir les enfants, de Louis Malle.",C1
Voyez-vous le château là-bas ?,A1
On dirait qu'il y a beaucoup de travail à faire.,B1
"Comme il ne pouvait pas sortir, il s'enveloppa dans son manteau, se coucha par terre et dormit comme des serpents.",A2
"Cela nécessite de repenser complètement la classe évidemment, puisque le cours, le modèle transmissif classique doit se faire à la maison, donc d'autres activités sont nécessaires en classe, activités qui passeront en fait par des questionnaires à choix multiples, ou éventuellement par l'utilisation d'urnes de vote, d'ateliers.",C2
