id,sentence,difficulty
1709,"Ses soutiens la voient comme une militante acharnée de l'écologie, qui n'hésite pas à faire entendre sa voix.",C1
1710,Quel âge tu as ?,A1
1711,"Désormais, il concentra tous les pouvoirs entre ses mains",B2
1712,"Deux drôles effroyables, mais très polis, me firent gracieusement place sur le divan de paille; et le café que je pris là était certainement meilleur que la décoction noire du plus célèbre café de Paris.",C1
1713,"""Parce que les révisions aident à faire retrouver la trace du rangement au sein de sa mémoire, ajoute-t-il",C2
1714,"Dès cette époque, il existe des établissements spécialisés pour la préparation des concours, pour la plupart des institutions privées.",C2
1715,Elles obligent les partenaires à un effort permanent de communication pour maintenir un modus vivendi enrichi d'imagination.,C2
1716,"Mesdames, votre attention, s'il vous plaît.",A1
1717,La mission de l'école a changé.,A2
1718,"Si quelques-uns échappent à cette destinée générale, ils renferment en eux-mêmes leur dissentiment secret ; ils aperçoivent dans la plupart des ridicules le germe des vices : ils n'en plaisantent plus, parce que le mépris remplace la moquerie, et que le mépris est silencieux.",C2
1719,Je t'aurais bien envoyé une photo mais nous n'avons pas d'appareil,B1
1720,"Allons, qui est celui qui veut ouvrir la liste ?",B1
1721,"Et en août, nous passerons peut-être quelques jours dans les montagnes.",B1
1722,"Il n'a fallu que 12 ans, entre 1999 et 2011, pour que la population mondiale passe de 6 à 7 milliards d'habitants",B1
1723,"Yukihiro Kimura, inventeur du recyclage des couches-culottes en combustible, Yonago, Japon.",B2
1724,Je cherchai enfin un raisonnement qui pût me tirer de cette lutte avec honneur à mes propres yeux.,C2
1725,Ils étaient là,A1
1726,"Bien-aimé, maudit soit cet orage qui me retint en mer, m'empêchant de venir à temps !",C1
1727,"De délicieux petits beignets tendres et croustillants à la fois, une recette idéale pour voyager sous le soleil des tropiques",C1
1728,"Lorsque j'aurai terminé mes études, je prendrai une année sabbatique.",B2
1729,"Pour certains auteurs, les conséquences pourraient être une évolution importante de l'organisation traditionnelle de l'entreprise",C2
1730,"Une crise survient à l'issue d'une période de quelques mois, pendant laquelle la pression - professionnelle, familiale ou existentielle - ne cesse de monter.",C1
1731,"Une plaisanterie plus légère, une conversation plus variée, un mélange particulier de mélancolie et de gaieté, de découragement et d'intérêt, d'enthousiasme et d'ironie, étonnèrent et attachèrent Ellénore.",C2
1732,"Un graphe paysager représentant le réseau de prairie au niveau régional (zone englobant essentiellement les plateaux jurassiens du département du Doubs) avait déjà été réalisé dans une étude précédente, à partir d'une carte d'occupation du sol moins précise et dérivée d'une classification d'image satellitaire ; cette première étude avait permis de tester différents paramétrages du graphe, pour représenter avec le plus de validité l'""infrastructure prairiale"" telle qu'elle est perçue par les campagnols terrestres.",C1
1733,Le portable permet aux jeunes de garder un espace privé au sein de la vie familiale.,B2
1734,"En Chine, la Fête des mères a lieu le 2e dimanche de mai.",B1
1735,Le marché fut bientôt conclu.,B2
1736,C'est fini.,A1
1737,"L'inégalité entre pays riches et pauvres, ainsi qu'elle saute aux yeux au mitant du dernier siècle, au moment des décolonisations, n'était ni éternelle, ni inévitable.",C1
1738,"Pendant sa courte période d'activité, le robot a travaillé d'arrache-pied.",B2
1739,"""J'ai accepté la demande de Neera Tanden de retirer"" sa candidature, a annoncé Joe Biden dans un communiqué.",B2
1740,Le chat est arrivé dans le salon et il gratté le fauteuil avec ses griffes.,A1
1741,"Hélas: c'est une interjection qui exprime la plainte, la souffrance, le regret.",B1
1742,"Au collège et au lycée, on pratique l'art de la conversation, celui de la complicité, des petites passions partagées dans un sentiment de légèreté et d'insouciance puisque rien n'est définitif.",B2
1743,La Chandeleur est une fête très ancienne.,A2
1744,L'école ne peut pas tout faire.,A2
1745,Ce magasin n'est pas loins de chez moi,A1
1746,"Pour clore cette monographie du café constantinopolitain, citons-en un autre qui n'est guère fréquenté que par des matelots.",C1
1747,"C'est ce que tâcherait de concevoir une pensée véritablement complexe, inspirée d'Edgar Morin, qui aurait conscience des liens unissant chaque chose.",C2
1748,Il n'est jamais retourné à Brazzaville où il a passé une partie de son enfance.,B1
1749,"Non il ne l'a pas encore reconnu, je crois.",A2
1750,Il y a deux trains pour Lille le matin,A1
1751,"S'il fait tenir dans trois cents pages dix ans d'une vie pour montrer quelle a été, au milieu de tous les êtres qui l'ont entourée, sa signification particulière et bien caractéristique, il devra savoir éliminer, parmi les menus événements innombrables et quotidiens, tous ceux qui lui sont inutiles, et mettre en lumière, d'une façon spéciale, tous ceux qui seraient demeurés inaperçus pour des observateurs peu clairvoyants et qui donnent au livre sa portée, sa valeur d'ensemble.",C1
1752,C'est toujours un plaisir de vous écouter.,A2
1753,"Quand l'homme de condition moyenne devient un grand personnage, les flatteries commencent à se terner et les médisances à fleurir",C2
1754,Soyons réceptif,C1
1755,Il fait très froid ici,A2
1756,"Il n'est guère étonnant, dès lors, que la bifurcation professionnelle et le déménagement prennent des allures de conversion identitaire .",C1
1757,"Dès qu'elle fut rentrée, elle éclata en sanglots",C2
1758,Le rouge est la couleure des tomates et des fraises.,A1
1759,"Chaque fin de semaine, ils partaient ensemble en randonnée dans les Alpes.",C1
1760,"À 60 ans aujourd'hui, on a encore devant soi vingt-cinq, voire trente années , explique Patrice Leclerc, responsable du programme personnes âgées à la Fondation de France.",B2
1761,"Pour se détendre, Théo prend souvent un bain le soir avant de jouer encore un peu et d'aller dormir",A2
1762,"Le chien battit de la queue frénétiquement, puis il rejoignit sa maîtresse en aboyant joyeusement.",C1
1763,"En 1620, le Mayflower - un bateau venu d'Europe - accoste dans une zone inconnue qui deviendra beaucoup plus tard la ville de Plymouth dans le nord des États-Unis actuels",B2
1764,"Auparavant, la duplication de l'ADN se faisait par clonage moléculaire : la séquence d'intérêt était insérée dans le génome d'une bactérie et l'on se servait du taux de croissance élevé du micro-organisme pour obtenir autant de clones de la séquence d'ADN.",C2
1765,Il doit se dépêcher pour ne pas être en retard à l'école.,A2
1766,On doit aussi faire tous les exercices,A1
1767,"Oui, un acte courageux, surtout quand celle-ci va à l'encontre de la frénésie ambiante, de la course aux infos",B1
1768,Tu manges beaucoup.,A1
1769,La journée est longue pour lui,A2
1770,"Bonjour, je m'appelle Igor",A1
1771,Le Net a encouragé des visions utopistes chez d'autres.,C1
1772,Je voudrais bien construire les bâtiments les plus hauts du monde.,B1
1773,"Mais sa voix, on ne l'a pas beaucoup entendue.",A2
1774,"Au début, ça a été très compliqué à mettre en place en fin de compte",A2
1775,Je ne trouve pas le livre que tu cherches.,A1
1776,Il n'aimait pas les plats de la cantine,A1
1777,Nous n'eûmes aucun mal à retrouver l'homme parmi la foule des voyageurs qui convergeaient vers la sortie,C2
1778,"Emma, de même, aurait voulu, fuyant la vie, s'envoler dans une étreinte.",C2
1779,"Hannah regarda les sabots détestables, qui par-dessus le marché étaient vert fluo.",B2
1780,"Une équation, entre autres, porte son nom.",B2
1781,"Elle s'est baignée, elle s'est reposée, elle s'est amusée",A1
1782,Tu pensais toujours à ton amant qui t'avait abandonné sans pitié.,B1
1783,L'école donne des cours de français.,A1
1784,Les salariés qui ont cotisé suffisamment peuvent prendre leur retraite à 60 ans.,B2
1785,"Un aspect qui différencie ces deux premiers profils cantonaux des autres, c'est le caractère de ""planification positive"" qu'ont ces instruments de contingentement spatial : ils indiquent un objectif, un état souhaitable en termes d'extension maximale des surfaces urbanisées à un horizon temporel donné.",C2
1786,Il arrive que le portable brise les amitiés entre jeunes.,B2
1787,"En prenant des cours, tu apprendrais plus vite.",B1
1788,J'aime beaucoup toute ma famille,A2
1789,"D'abord, je dois aller à la boulangerie pour acheter du pain et des croissants",A2
1790,Je lus un roman que je me fus procuré à la bibliothèque centrale,C2
1791,"S'il existe des dizaines de variantes à cette recette, le chef Gérard- Michel Corbin nous propose d'y apporter lui aussi sa touche personnelle",C1
1792,"Ils m'ont expliqué qu'ils n'avaient pas encore vu quelqu'un d'aussi expressif, et qu'ils allaient me recontacter.",B1
1793,"Les impôts sur le revenu et la fortune des personnes physiques, sur le bénéfice et le capital des personnes morales ainsi que sur les bénéfices immobiliers sont des impôts directs que les cantons doivent prélever selon la LHID.",C1
1794,Une étude menée par des chercheurs de l'université McGill au Canada vient apporter de nouveaux éléments sur cette étape.,C2
1795,J'ai entendu dire que le maire souhaitait supprimer le festival de chants folkloriques.,B2
1796,"Avec son repas en famille autour de sa traditionnelle dinde farcie, Thanksgiving est considérée comme une fête aussi importante que Noël aux États-Unis et au Canada",B2
1797,"En Amérique centrale, c'est Francia Márquez qui a réussi à organiser les femmes de la Toma dans la région de Cauca et à faire pression sur le gouvernement colombien pour arrêter l'exploitation illégale de l'or sur les terres ancestrales",B1
1798,"On a un prof super cool, genre métissé, cheveux hirsutes, fringues cooles et classes.",C1
1799,"Utiliser des stoppeurs externes (horloge, messages d'avertissement), parler de ses affects négatifs à des proches, faire de la relaxation, de la méditation, du sport, se rappeler les conséquences négatives d'une consommation excessive (encourager un discours critique, peser le pour et le contre), surfer sur l'envie (la laisser venir, résister et attendre qu'elle passe)., autant de moyens pour essayer d'endiguer ces envies devenues incontrôlables.",C2
1800,"Le soir, nous avons mangé dans un excellent restaurant",A2
1801,C'est un spectacle magique,A1
1802,"En effet, de nombreux concepts peuvent être abordés sans ordinateur.",B2
1803,Comment allez-vous aujourd'hui ?,A1
1804,Il a un appartement,A2
1805,"Le Père Éternel eut compassion du pauvre homme; il écrivit un mot, en lettres d'or, sur une feuille qu'il cueillit d'un arbre dans le Paradis.",B1
1806,"J'ai voulu lui offrir le café mais Marie n'a pas voulu : ""chacun sa part"".",A2
1807,"Ainsi en a décidé le très puritain George Bush, avec la bénédiction de la féministe Hillary Clinton.",C1
1808,66 % des sympa-thisants de gauche y sont favorables contre 82 % des sympathisants de droite,C2
1809,"Selon moi, le risque est trop grand pour qu'on le prenne.",B1
1810,"À mesure que nous nous servons des ordinateurs comme intermédiaires de compréhension du monde, je crains que notre propre intelligence ne devienne artificielle.",C1
1811,Deux constats récents ont imposé le débat.,C1
1812,"Née en 1776, elle est l'une des premières mathématiciennes françaises autodidactes.",B2
1813,Le lien entre l'acteur et l'acte commis est inexistant,C2
1814,"Sortons, faisons quelquechose, n'importe quoi, juste pour bouger un peu!",B1
1815,Le voyageur a été le favori du Prince.,B1
1816,"C'est pourquoi, si près de 50 % de nos essais sont sous-traités, nous gagnerons en souplesse et éviterons la baisse momentanée de nos effectifs.",B2
1817,Je ne me le suis jamais demandé.,A2
1818,"Je ne nie pas que parfois, c'est ma faute.",A2
1819,Elle se classe première parmi les meilleures de sa catégorie.,B2
1820,"Oui, je vais le faire !",A2
1821,Et pas qu'une.,A1
1822,C'est un hôtel au bord de la mer,A1
1823,La cuisine française est engoncée dans ses traditions et refuse d'en sortir.,B2
1824,C'est ici que je cuisine des gâteaux et des pâtisseries,A2
1825,Elle est petite.,A1
1826,"Si la notion de patriotisme peut sembler marquée à droite, les chantres du patriotisme économique et leurs discours plus culpabilisants qu'encourageants sont de tous bords politiques : de l'extrême droite à l'extrême gauche sans oublier les écologistes",B2
1827,Je vous ouvre un compte.,A2
1828,"C'étaient de ces chambres de province qui - de même qu'en certains pays des parties entières de l'air ou de la mer sont illuminées ou parfumées par des myriades de protozoaires que nous ne voyons pas - nous enchantent des mille odeurs qu'y dégagent les vertus, la sagesse, les habitudes, toute une vie secrète, invisible, surabondante et morale que l'atmosphère y tient en suspens ; odeurs naturelles encore, certes, et couleur du temps comme celles de la campagne voisine, mais déjà casanières, humaines et renfermées, gelée exquise, industrieuse et limpide de tous les fruits de l'année qui ont quitté le verger pour l'armoire ; saisonnières, mais mobilières et domestiques, corrigeant le piquant de la gelée blanche par la douceur du pain chaud, oisives et ponctuelles comme une horloge de village, flâneuses et rangées, insoucieuses et prévoyantes, lingères, matinales, dévotes, heureuses d'une paix qui n'apporte qu'un surcroît d'anxiété et d'un prosaïsme qui sert de grand réservoir de poésie à celui qui les traverse sans y avoir vécu.",C2
1829,L'opinion se convainc de l'inanité du bellicisme.,C2
1830,Régine Lemoine-Darthois et Elisabeth Weissman ont fait le même constat.,C1
1831,"L'indispensable travail de reconstruction est professionnel et social souvent, psychologique et amoureux parfois.",C1
1832,"Bonsoir, J'ai une réservation pour 21h au nom de Smith.",A2
1833,"Dans une analyse publiée le 3 mars, UBS estime que l'ensemble du marché est délicat. En Chine et en Corée du Sud, les deux pays où la livraison de repas est la plus développée, les bénéfices opérationnels sont possibles.",C1
1834,"Et, pour finir, cet aphorisme redoutable, maître-mot de la pensée de la complexité : ""Tout ce qui isole un objet détruit sa réalité même6.",C2
1835,"S'obstiner à acheter 100 pour cent français reviendrait à vivre sans réfrigérateur, sans lave linge, sans smartphone, sans ordinateur. Autrement dit, les plus patriotes et les plus écolos devront soit mettre de l'eau dans leur vin soit revenir à un mode de vie d'un autre âge",B2
1836,"Si nous avions plus d'argent, nous achèterions un tableau de Matisse.",B1
1837,"Selon l'Organisation mondiale de la santé (OMS), on comptait environ 200 millions d'obèses dans le monde en 1995.",C1
1838,"Aujourd'hui, j'ai mangé une mousse au chocolat parce que je ne suis pas à la diète.",A2
1839,"En parallèle, l'essor des nanotechnologies stimule la miniaturisation et la mobilité de ces outils auxquels il s'agira de greffer des systèmes énergétiques aussi petits que possible.",C1
1840,"À chaque respiration elle sentait la fumée entrer dans ses poumons, tel un insidieux poison.",B2
1841,Ils vont souvent à l'opéra,A1
1842,"Enfermés dans la souricière d'amour, condamnés aux travaux d'amour à perpétuité, ils étaient couchés l'un près de l'autre, beaux, tendres aimants et sans but.",C2
1843,Les hommes la découpent et la placent au-dessus de la flamme.,A2
1844,"Une fois déchiquetées et séchées, elles sont alors agglomérées en petits cylindres appelés ""palettes"".",B2
1845,"Grâce aux actions concertées de ces organisations, des milliers d'enfants sont chaque année tirés des griffes de la violence et de la guerre.",B1
1846,Tu remplis le pot d'eau et tu mets des glaçons.,A2
1847,Les ignorer en restant nostalgique est inconscient.,C1
1848,"Il s'arrêtait, se baissait, et, lorsqu'elle approchait, de son petit pas hésitant, il sautait en l'air comme les diables enfermés en des boîtes, puis il s'élançait d'une enjambée à l'autre bout du salon.",C2
1849,"Ensuite, Marie et moi, on est allés regarder dans une librairie et on a trouvé un livre de contes pour enfant très joli.",B1
1850,La biographie est une friandise mais le quotidien de l'écrivain public se nourrit des innombrables demandes de services ponctuels formulées par les particuliers et les entreprises.,C1
1851,"Si cette actrice avait accepté le rôle, elle aurait été formidable.",B1
1852,On eût difficilement imaginé un plus baroque assemblage de vêtures surannées,C2
1853,A cette très grande mortalité correspond une durée moyenne de vie relativement courte.,C1
1854,Et ils étaient plus de mille.,B1
1855,J'habite à Rouen mais je travaille à Paris,A1
1856,Tu l'appelles chaque jour jusqu'à ce qu'il te donne une réponse.,B1
1857,Il joue au football depuis cinq ans.,A1
1858,"C'est vraiment génial d'être en ville et d'avoir les monuments, les musées et la plage au même endroit",B1
1859,"Ainsi, ils gagnent en efficacité et l'employeur en profite.",B2
1860,"Tout le monde était tondu à neuf, les oreilles s'écartaient des têtes, on était rasé de près ; quelques-uns même qui s'étaient levés dès avant l'aube, n'ayant pas vu clair à se faire la barbe, avaient des balafres en diagonale sous le nez, ou, le long des mâchoires, des pelures d'épiderme larges comme des écus de trois francs, et qu'avait enflammées le grand air pendant la route, ce qui marbrait un peu de plaques roses toutes ces grosses faces blanches épanouies.",C2
1861,"Le bâtiment principal, qui vient d'être rénové, a l'air tout neuf et ils ont peint les mursen couleurs pastels",B2
1862,Il y a aussi les personnages dotés d'un pouvoir politique séculier exceptionnel : les rois.,C2
1863,Pour preuve : les Bédouins ont fait du thé à la menthe brûlant un véritable rituel et en consomment plusieurs fois par jour.,B2
1864,"Onze heures sonnèrent, je me rendis auprès d'Ellénore : elle m'attendait.",C2
1865,Je vais fermer la porte à clé par sécurité.,A2
1866,"Pour vérifier que vous avez bien compris, répondez à ces questions.",A2
1867,Un mode de travail dont ils sont habituellement privés dans un enseignement transmissif.,C2
1868,"C'est dans le Sahara qu'il fait le plus chaud sur Terre, où des températures de plus de 50 °C ne sont pas rares.",A2
1869,Je travaillais lorsqu'il est arrivé par surprise derrière moi.,A2
1870,"Ainsi, Pierre a le privilège d'admirer chaque jour l'un des monuments les plus visités au monde",A1
1871,Ma mère s'appelle Marie.,A1
1872,Certains vagabonds tiennent minutieusement leur propre guide de voyage et monnayent leurs informations.,C2
1873,Une autre organisation qui produit sa part d'impact sur les peuples autochtones de la côte est la Commission baleinière internationale .,C1
1874,J'en connais qu'une seule : Valérie,A2
1875,J'aime beaucoup ceux avec la tour Eiffel.,A1
1876,"Beaucoup voient leur nid familial sous un nouveau jour : ""Les appartements parisiens des arrondissements historiques sont peut-être plein de charme, mais ils sont surtout trop petits"", se moque le Wall Street Journal.",B2
1877,Ils furent allés acheter une panoplie de produits d'entretien pour décrasser leur garage.,C1
1878,On doit toujours écouter ses parents,A1
1879,Qu'est-ce que vous voulez ?,A2
1880,"J'aimai, je respectai mille fois plus Ellénore après qu'elle se fut donnée.",C2
1881,"s'ils ont la garde légale de leur progéniture, ils doivents absolument montrer les papiers légaux de garde",C1
1882,Juste un petit peu.,A1
1883,"Voilà, monsieur",A1
1884,"Personnalité clivante au sein de la majorité, la ministre de la transition écologique, Barbara Pompili, a la lourde tâche de redorer le bilan environnemental d'Emmanuel Macron pour l'élection présidentielle de 2022.",C1
1885,Je promettais de dire la vérité.,A2
1886,"Plusieurs années avant de se faire connaitre sous le nom de Saul Goodman, James McGill était un arnaqueur à Cicero et comptait sur son frère Charles McGill, un grand avocat, pour sortir de prison quand il était arrêté.",C1
1887,"Après quelques mois de cette pauvreté noble, assiégée par les lettres continuelles de Limercati, et même du comte N. qui lui aussi voulait épouser, il arriva que le marquis del.",C1
1888,"Dès que j'eus dégusté mon repas, je me sentis apaisé.",C2
1889,"Pour conjurer les deux mois de vacances, ils achètent donc leur potion en librairie pour uninvestissement moyen de 7 euros.",C2
1890,Le débat porte plutôt sur l'utilité d'une telle mesure.,B1
1891,"Cette façon d'entrer dans les pensées des personnages presque par effraction, sans s'excuser, et de naviguer dans un océan à l'amplitude universelle : les méandres des souvenirs qui à la fois hantent et illuminent nos vies.",C1
1892,"C'est ici, Monsieur.",A1
1893,Sa grossesse se passe bien et elle travaille toujours dans le même restaurant.,B1
1894,"Une fois rentrés chez eux, les élèves que j'ai pu étudier au lycée Dorian vont sur des plates-formes, alors pas forcément les plates-formes académiques type ENT, mais vont par exemple sur Facebook, ils coopèrent, ils s'échangent des informations sur les cours, sur les exercices.",C2
1895,"Si tu as mal au dos, je peux te faire un massage, ça aide souvent.",B1
1896,"Son fils l'aide, mais il est encore très jeune : il n'a que treize ans, ce n'est pas encore un guerrier.",A2
1897,"Le ministre de l'Education a lancé un appel d'offres aux associations pour introduire en primaire une initiation au code informatique , facultative, sur les temps périscolaires dégagés par la réforme des rythmes scolaires.",C2
1898,"Moi-même, je suis séduit par la coincidentia oppositorum, la nécessité de maintenir ensemble les contraires.",C2
1899,Le livre est mis en vitrine par les libraires,A2
1900,"Entre 47 et 53 ans, un chômeur a 1 chance sur 10 de retrouver un contrat à durée indéterminée, déplore Jacques Gosselin, qui a créé il y a un an la Fédération interrégionale pour le développement de l'emploi des seniors.",C1
1901,Mais trop de gens sont encore désarmés face aux ordinateurs.,C2
1902,Il est allé chez le dentiste pour enlever une dent hier matin avant d'aller au travail.,A2
1903,"Dernièrement, le ministre de l'éducation nationale a souhaité durcir l'interdiction des téléphones portables au collège qui existe déjà, mais qui, en pratique, n'est pas suffsamment appliquée parce qu'aucune sanction n'est prévue.",B2
1904,"Je m'occuperai des enfants ce week-end-là, j'ai déjà posé mes congés.",B1
1905,"Une opération à renouveler 2 à 3 fois, avant de l'émietter le plus finement possible, la chiquetailler, comme on dit aux Antilles",C1
1906,Je lui ferai découvrir les villes de Lyon et de Montpellier.,B1
1907,"Enfin, vous signerez avec votre certificat électronique l'ensemble de ces éléments avant de cliquer sur envoi .",B2
1908,"Le chat a voulu s'asseoir dans le fauteuil, mais Simon n'a pas voulu.",A1
1909,C'est pas mal.,A1
1910,"Au bout de trois ans et trois jours, le prince a enfin découvert l'enchanteresse?",B1
1911,"A chaque épée de lumière jaillie du sable, d'un coquillage blanchi ou d'un débris de verre, mes mâchoires se crispaient.",C1
1912,"Je voudrais réserver une chambre double pour deux nuits, s'il vous plaît.",A1
1913,"À l'extrémité de la digue on voyait s'élever, sur les dessins du fameux marquis Gagnola, une chapelle bâtie tout entière en blocs de granit énormes, et, dans la chapelle, Marchesi, le sculpteur à la mode de Milan, lui bâtissait un tombeau sur lequel des bas-reliefs nombreux devaient représenter les belles actions de ses ancêtres.",C1
1914,"Pour notre entreprise, externaliser, c'est se concentrer sur nos activités principales, recherche et commercialisation, que nous maîtrisons parfaitement et faire réaliser par des intervenants extérieurs les activités de production et les essais cliniques.",B2
1915,Nous aurions de toute évidence du mal à les rendre.,B1
1916,"Yukihiro a déjà investi 2, 3 millions d'euros dans son procédé unique au monde, qui vient d'être installé, à la demande du maire, dans la commune d'Uki, au sud du pays.",B2
1917,Plusieurs personnes qui ont vécu ces jours tourmentés racontent.,C1
1918,Le soleil aplatissait le chemin du Quai à grands coups de langue,C2
1919,"Le vêtement est comme un enduit ; il met tout en relief, et la toilette a été inventée bien plutôt pour faire ressortir des avantages corporels que pour voiler des imperfections.",C2
1920,"J'étais assez calme, j'avais beaucoup de copains et je passais des heures avec eux tous les jours",A1
1921,"L'auteur évoque l'insouciance des journées passées avec la panse pleine et sa conviction, acquise dans le monde du vagabondage, que le travail régulier, dégradant, ne fera plus jamais partie de son mode de vie.",C2
1922,"Elle mit vivement son chapeau à plumes, sa cape et elle partit en silence sans ajouter le moindre mot.",B2
1923,"Contre le mur, il y a une grande affiche",A1
1924,"Pareil pour les mathématiques , poursuit David Wilgenbus.",C2
1925,"Elle signifie ""transmettre à quelqu'un un message qu'on a reçu de quelqu'un d'autre et qui lui était adressé"".",A2
1926,"Sur 110 000 appels reçus par la ligne Jeunes écoute violence d'Ile-de-France en 2000, environ 4000 avaient trait à des agressions survenues en milieu scolaire, essentiellement au collège.",C1
1927,"En 2019, le taux d'imposition de l'énergie était de 335 francs par tonne d'équivalent pétrole (TEP), une unité de mesure qui permet de comparer entre eux les différents agents énergétiques.",C1
1928,La situation est plus complexe pour les parents divorcés ou séparés,B2
1929,Je me sens très bien dans ma nouvelle maison !,A2
1930,"Au Québec on ne discute pas, on jase",C1
1931,"Oui, elle est grande. Mais le lit est petit.",A1
1932,Elle passe aussi à la boulagerie et elle achète une baguette toute chaude et des croissants pour le petit-déjeuner,A1
1933,"Ma chère Anne, je n'ai pas trouvè le mari vraiment charmante non plus.",B1
1934,Les habitants seraient très choqués d'apprendre l'interdiction des voitures en centre-ville.,B2
1935,Ils leur imposent plus de contraintes morales et leur demandent de tout sacrifier à la réussite scolaire.,B2
1936,"Et la Bretagne offre cette respiration, parce que chez nous, le luxe c'est l'espace.",B1
1937,Il accepte de le cacher dans sa poitrine.,A2
1938,"Bien que les policiers réclament plus de pouvoirs concernant l'écoute électronique des logiciels de téléphonie Internet, l'Italie a souligné son désaccord avec une telle politique.",C1
1939,J'ai lu et bien compris l'histoire.,A2
1940,Ce spectacle est très amusant.,A1
1941,"Pour les femmes surtout, nuancent Régine Lemoine-Darthois et Elisabeth Weissman.",C1
1942,L'école n'a plus la même fonction qu'hier parce que le monde a changé.,A2
1943,"Ils se disent prêts à quitter travail et confort, à s'éloigner de leurs amis, à ""gagner moins pour vivre mieux"".",A2
1944,"J'ai été élevé par deux femmes exceptionnelles, racontait-il clans une Interview enregistrée en 1981 oui il apparaît, direct et affable, en compagnie de sa fille et de sa petite-fille",C1
1945,"Même à l'âge de 11 ans, on doit subir des contrôles dans toutes les matières.",B1
1946,Je suis d'accord.,A1
1947,"Cette femme, malgré sa situation désavantageuse, avait montré, dans plusieurs occasions, un caractère distingué.",B2
1948,Les divers modèles de suspensions nécessitent de bons réglages car la moindre perte d'adhérence peut amener à la perte de contrôle de la moto; elles ont évolué avec le temps.,C2
1949,"Aux premiers abords, cette race peut se méfier des étrangers, mais est facilement docile avec son maître.",B2
1950,"Aujourd'hui, avec mes parents et ma soeur nous partons en voyage.",A1
1951,L'exploitation est la plupart du temps confiée à des sociétés privées européennes ou asiatiques.,B2
1952,Enfin j'entendis sonner l'heure à laquelle je devais me rendre chez le comte.,C2
1953,"Quand il ne fait pas beau, j'y vais en bus",A1
1954,Je veux espérer qu'il n'a pas vu l'affiche !,A2
1955,Je regarde les oiseaux à travers la fenêtre de ma chambre.,A1
1956,Et puis après quelques jours tout était plus facile.,B1
1957,Je vais prendre la tarte tatin.,A1
1958,Je te propose un rendez-vous à 20 heures au bar,A2
1959,Le temps des hommes s'articule autour de ce jour chômé.,C2
1960,"Le personnage de Saul Goodman est créé pour conduire Walter et Jesse vers un trafic de drogue à plus grande échelle, suppléant à des personnages tels que Badger, un petit trafiquant ami de Jesse.",C1
1961,"Malgré le danger, il a gardé la tête froide durant cette expérience.",B2
1962,"Craignant la défaite électorale, Trump dégobille allègrement sur le système électoral, parle de fraude et d'irrégularités, comme si elles étaient monnaie courante.",C2
1963,"Si l'épicerie avait été ouverte, nous aurions acheté du lait.",B2
1964,Je vais à l'école pendant la journée.,A2
1965,"Dans la profondeur des hautes bâtisses moyenâgeuses de la rue des Nobles ou de la rue des Archers se creusent des espèces d'arrière-cours où les sombres maçonneries qui les encadrent entretiennent une constante humidité de sépulcre et ne laissent pénétrer qu'un filet de jour spectral, tombé du mince hublot de ciel que découpent les toits en surplomb.",C2
1966,"Son inégale diffusion dans l'espace, son intensité variable commandent les transformations démographiques et sociales des populations et modifient a terme les paysages géographiques.",C1
1967,"Elle rencontra Candide en revenant au château, et rougit ; Candide rougit aussi ; elle lui dit bonjour d'une voix entrecoupée, et Candide lui parla sans savoir ce qu'il disait.",B2
1968,Nous sommes dans un monde globalement mieux nourri.,B2
1969,"A côté des progrès récents dans le domaine des biothérapies, la modulation nutritionnelle de l'inflammation intestinale offre des possibilités thérapeutiques simples, et sûres.",C2
1970,"Elle était très religieuse, parce que la religion condamnait rigoureusement son genre de vie.",B2
1971,Je fais mon exposé devant toute la classe.,A1
1972,"Moi, leur turbulence me fatiguait et je trouvais distingué de m'ennuyer auprès de M. Barrault pendant qu'ils jouaient aux barres.",C1
1973,"Vivement que tout soit fini, que le village redevienne ce qu'il était.",A2
1974,"Au café, le patron allume la télé à l'heure de l'émission : Les clients la regardent, chacun y va de son commentaire.",A2
1975,"C'est en représentant mon journal, Le Parisien, à l'émission Res Publica, à la radio, que j'ai rencontré Jean-Luc Hess, qui dirigeait alors la station.",B1
1976,"L'entreprise déclarait en 2004 vouloir développer un système de transport lourd, voire super-lourd si la demande des clients suivait, sachant qu'à chaque augmentation de taille résulte une diminution significative du coût par kilogramme en orbite.",C1
1977,Comment peut-on aimer l'école ?,A2
1978,"On ouvrit la porte et les deux jeunes femmes parurent, suivies d'un maître d'hôtel, voilées, cachées, discrètes, avec cette allure de mystère charmant qu'elles prennent en ces endroits où les voisinages et les rencontres sont suspects.",C2
1979,"Il la sentait contre lui, si près, enfermée avec lui dans cette boîte noire, qu'éclairaient brusquement, pendant un instant, les becs de gaz des trottoirs.",C2
1980,La Fête du Travail en France est célébrée le premier mai comme c'est le cas dans de nombreux pays du monde.,A2
1981,Séverine est arrivée après une annonce que ma fille a faite.,A1
1982,"Une preuve en est que deux millions d'emplois en Europe, nécessitant des compétences scientifiques et technologiques, ne sont pas pourvus.",C1
1983,Un débat public et démocratique est donc nécessaire!,C1
1984,"Premièrement, les agences réglementaires nationales exigent un nombre de patients testés toujours plus grand.",B2
1985,"Ainsi, le portable permet de se tolérer mutuellement.",B2
1986,"La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, ça a libéré ma ligne , déclare-t-elle.",B2
